Ticker,Industry Name,Company Name,Sub-sector,Market Capitalization
GIAA,Airlines,PT Garuda Indonesia (Persero) Tbk Class B,Airlines / Code: K111,27.28 T IDR
JSMR,Transportation,PT Jasa Marga (Persero) Tbk Class B,Not in source,21.7 T IDR
TCPI,Transportation,PT Transcoal Pacific,Not in source,11.3 T IDR
CMNP,Transportation,PT Citra Marga Nusaphala Persada Tbk,Not in source,9.54 T IDR
RMKE,Transportation,PT RMK Energy Tbk,Not in source,9.23 T IDR
TMAS,Transportation,PT Temas Tbk,Logistics & Deliveries / Code: K211,8.22 T IDR
ELPI,Transportation,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Logistics & Deliveries / Code: K211,8.2 T IDR
GMFI,Transportation,PT Garuda Maintenance Facility Aero Asia Tbk,Not in source,7.49 T IDR
BULL,Transportation,PT Buana Lintas Lautan Tbk,Not in source,6.74 T IDR
SHIP,Transportation,PT Sillo Maritime Perdana Tbk,Not in source,6.36 T IDR
SMDR,Transportation,PT Samudera Indonesia Tbk,Logistics & Deliveries / Code: K211,5.67 T IDR
HATM,Logistics & Deliveries,PT Habco Trans Maritima Tbk,Logistics & Deliveries / Code: K211,5.34 T IDR
SOCI,Transportation,PT Soechi Lines Tbk,Not in source,5.31 T IDR
MBSS,Transportation,PT Mitrabahtera Segara Sejati Tbk,Not in source,4.97 T IDR
BIRD,Road Transportation,PT Blue Bird Tbk,Road Transportation / Code: K132,4.08 T IDR
CASS,Transportation,PT Cahaya Aero Services Tbk,Not in source,3.84 T IDR
CBRE,Transportation,PT Cakra Buana Resources Energi Tbk,Not in source,3.49 T IDR
BESS,Transportation,PT Batulicin Nusantara Maritim Tbk,Not in source,3.13 T IDR
GTSI,Transportation,PT GTS Internasional,Not in source,2.71 T IDR
HUMI,Transportation,PT Humpuss Maritim Internasional Tbk,Not in source,2.6 T IDR
WINS,Transportation,PT Wintermar Offshore Marine Tbk,Not in source,2.58 T IDR
PORT,Transportation,PT Nusantara Pelabuhan Handal Tbk,Not in source,2.5 T IDR
ASSA,Road Transportation,PT Adi Sarana Armada Tbk,Road Transportation / Code: K132,2.36 T IDR
IPCC,Transportation,PT Indonesia Kendaraan Terminal Tbk,Not in source,2.09 T IDR
PSSI,Transportation,PT IMC Pelita Logistik Tbk,Not in source,1.85 T IDR
TPMA,Transportation,PT Trans Power Marine Tbk,Not in source,1.72 T IDR
IPCM,Transportation,PT Jasa Armada Indonesia Tbk,Not in source,1.54 T IDR
PSAT,Passenger Marine Transportation,PT Pancaran Samudera Transport Tbk,Transportation,1.34 T IDR
BLOG,Logistics & Deliveries,PT Trimitra Trans Persada Tbk,Logistics & Deliveries / Code: K211,1.29 T IDR
TAMU,Transportation,PT Pelayaran Tamarin Samudra Tbk,Not in source,1.05 T IDR
BBRM,Transportation,PT Pelayaran Nasional Bina Buana Raya Tbk,Not in source,1.01 T IDR
BSML,Transportation,PT Bintang Samudera Mandiri Lines Tbk,Not in source,962.12 B IDR
MITI,Logistics & Deliveries,PT Mitra Investindo Tbk Class A,Logistics & Deliveries / Code: K211,847.62 B IDR
BLTA,Logistics & Deliveries,PT Berlian Laju Tanker Tbk,Logistics & Deliveries / Code: K211,829.09 B IDR
SAFE,Road Transportation,PT Steady Safe Tbk,Road Transportation / Code: K132,718.56 B IDR
GTRA,Logistics & Deliveries,PT Grahaprima Suksesmandiri Tbk,Logistics & Deliveries / Code: K211,515.27 B IDR
NELY,Logistics & Deliveries,PT Pelayaran Nelly Dwi Putri Tbk,Logistics & Deliveries / Code: K211,502.9 B IDR
