,sector,subsector,industry,sub_industry
0,transportation-logistic,transportation,passenger-land-transportation,road-transportation
1,transportation-logistic,transportation,airlines,airlines
2,infrastructures,heavy-constructions-civil-engineering,heavy-constructions-civil-engineering,heavy-constructions-civil-engineering
3,properties-real-estate,properties-real-estate,real-estate-management-development,real-estate-services
4,properties-real-estate,properties-real-estate,real-estate-management-development,real-estate-development-management
5,infrastructures,telecommunication,telecommunication-service,wired-telecommunication-service
6,infrastructures,telecommunication,telecommunication-service,integrated-telecommunication-service
7,infrastructures,telecommunication,wireless-telecommunication-services,wireless-telecommunication-services
8,consumer-non-cyclicals,food-beverage,agricultural-products,fish-meat-poultry
9,consumer-non-cyclicals,food-beverage,agricultural-products,plantations-crops
10,consumer-non-cyclicals,food-beverage,processed-foods,dairy-products
11,consumer-non-cyclicals,food-beverage,processed-foods,processed-foods
12,consumer-non-cyclicals,food-beverage,beverages,soft-drinks
13,consumer-non-cyclicals,food-beverage,beverages,liquors
14,infrastructures,utilities,electric-utilities,electric-utilities
15,infrastructures,utilities,gas-utilities,gas-utilities
16,healthcare,healthcare-equipment-providers,healthcare-providers,healthcare-providers
17,healthcare,healthcare-equipment-providers,healthcare-equipment-supplies,healthcare-equipment
18,healthcare,healthcare-equipment-providers,healthcare-equipment-supplies,healthcare-supplies-distributions
19,financials,financing-service,consumer-financing,consumer-financing
20,consumer-non-cyclicals,tobacco,tobacco,tobacco
21,healthcare,pharmaceuticals-health-care-research,pharmaceuticals,pharmaceuticals
22,consumer-non-cyclicals,nondurable-household-products,personal-care-products,personal-care-products
23,consumer-cyclicals,media-entertainment,entertainment-movie-production,entertainment-movie-production
24,consumer-cyclicals,media-entertainment,media,cable-satellite
25,consumer-cyclicals,media-entertainment,media,broadcasting
26,consumer-cyclicals,media-entertainment,media,consumer-publishing
27,consumer-cyclicals,media-entertainment,media,advertising
28,industrials,industrial-goods,electrical,electrical-components-equipment
29,industrials,industrial-goods,machinery,construction-machinery-heavy-vehicles
30,industrials,industrial-goods,machinery,industrial-machinery-components
31,industrials,industrial-goods,building-products-fixtures,building-products-fixtures
32,consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,food-retail-distributors
33,consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,supermarkets-convenience-store
34,consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,drug-retail-distributors
35,industrials,industrial-services,professional-services,human-resource-employment-services
36,industrials,industrial-services,professional-services,research-consulting-services
37,industrials,industrial-services,diversified-industrial-trading,diversified-industrial-trading
38,industrials,industrial-services,commercial-services,office-supplies
39,industrials,industrial-services,commercial-services,business-support-services
40,industrials,industrial-services,commercial-services,environmental-facilities-services
41,industrials,industrial-services,commercial-services,commercial-printing
42,financials,insurance,insurance,life-insurance
43,financials,insurance,insurance,reinsurance
44,financials,insurance,insurance,general-insurance
45,technology,software-it-services,online-applications-services,online-applications-services
46,technology,software-it-services,it-services-consulting,it-services-consulting
47,technology,software-it-services,software,software
48,infrastructures,transportation-infrastructure,transport-infrastructure-operator,marine-ports-services
49,infrastructures,transportation-infrastructure,transport-infrastructure-operator,airport-operators
50,infrastructures,transportation-infrastructure,transport-infrastructure-operator,highways-railtracks
51,energy,oil-gas-coal,oil-gas,oil-gas-production-refinery
52,energy,oil-gas-coal,oil-gas,oil-gas-storage-distribution
53,energy,oil-gas-coal,coal,coal-production
54,energy,oil-gas-coal,coal,coal-distribution
55,energy,oil-gas-coal,oil-gas-coal-supports,oil-gas-drilling-service
56,energy,oil-gas-coal,oil-gas-coal-supports,oil-gas-coal-equipment-services
57,consumer-cyclicals,leisure-goods,consumer-electronics,consumer-electronics
58,consumer-cyclicals,leisure-goods,sport-equipment-hobbies-goods,sport-equipment-hobbies-goods
59,basic-materials,basic-materials,chemicals,specialty-chemicals
60,basic-materials,basic-materials,chemicals,agricultural-chemicals
61,basic-materials,basic-materials,chemicals,basic-chemicals
62,basic-materials,basic-materials,metals-minerals,diversified-metals-minerals
63,basic-materials,basic-materials,metals-minerals,gold
64,basic-materials,basic-materials,metals-minerals,iron-steel
65,basic-materials,basic-materials,metals-minerals,aluminum
66,basic-materials,basic-materials,metals-minerals,cooper
67,basic-materials,basic-materials,containers-packaging,containers-packaging
68,basic-materials,basic-materials,construction-materials,construction-materials
69,basic-materials,basic-materials,forestry-paper,paper
70,basic-materials,basic-materials,forestry-paper,diversified-forest
71,basic-materials,basic-materials,forestry-paper,timber
72,consumer-cyclicals,household-goods,household-goods,housewares-specialties
73,consumer-cyclicals,household-goods,household-goods,home-furnishings
74,consumer-cyclicals,household-goods,household-goods,household-appliances
75,consumer-cyclicals,consumer-services,tourism-recreation,recreational-sports-facilities
76,consumer-cyclicals,consumer-services,tourism-recreation,restaurants
77,consumer-cyclicals,consumer-services,tourism-recreation,travel-agencies
78,consumer-cyclicals,consumer-services,tourism-recreation,hotels-resorts-cruise-lines
79,consumer-cyclicals,consumer-services,education-support-services,education-services
80,financials,banks,banks,banks
81,transportation-logistic,logistics-deliveries,logistics-deliveries,logistics-deliveries
82,consumer-cyclicals,retailing,consumer-distributors,consumer-distributors
83,consumer-cyclicals,retailing,department-stores,department-stores
84,consumer-cyclicals,retailing,specialty-retail,apparel-textile-retail
85,consumer-cyclicals,retailing,specialty-retail,electronics-retail
86,consumer-cyclicals,retailing,specialty-retail,home-improvement-retail
87,consumer-cyclicals,retailing,specialty-retail,automotive-retail
88,financials,investment-service,investment-services,investment-banking-brokerage-services
89,financials,investment-service,investment-services,investment-management
90,energy,alternative-energy,alternative-energy-equipment,alternative-energy-equipment
91,financials,holding-investment-companies,holding-investment-companies,financial-holdings
92,financials,holding-investment-companies,holding-investment-companies,investment-companies
93,consumer-cyclicals,automobiles-components,auto-components,auto-parts-equipment
94,consumer-cyclicals,automobiles-components,auto-components,tires
95,technology,technology-hardware-equipment,networking-equipment,networking-equipment
96,technology,technology-hardware-equipment,computer-hardware,computer-hardware
97,technology,technology-hardware-equipment,electronic-equipment-instruments-components,electronic-equipment-instruments
98,industrials,multi-sector-holdings,multi-sector-holdings,multi-sector-holdings
99,consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,clothing-accessories-bags
100,consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,footwear
101,consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,textiles
