,symbol,company_name,sector,market_cap
0,GIAA.JK,Garuda Indonesia (Persero) Tbk,Transportation & Logistic,26868052453242
1,TMAS.JK,PT Temas Tbk,Transportation & Logistic,8386570500000
2,ELPI.JK,PT Pelayaran Nasional Ekalya Purnamasari Tbk,Transportation & Logistic,6238495100000
3,WBSA.JK,PT BSA Logistics Indonesia Tbk,Transportation & Logistic,6029125000000
4,SMDR.JK,Samudera Indonesia Tbk,Transportation & Logistic,5927967200000
5,HATM.JK,PT Habco Trans Maritima Tbk,Transportation & Logistic,5405600000000
6,BIRD.JK,PT Blue Bird Tbk,Transportation & Logistic,4065912500000
7,ASSA.JK,Adi Sarana Armada Tbk,Transportation & Logistic,2417695073635
8,IMJS.JK,PT Indomobil Multi Jasa Tbk,Transportation & Logistic,2039661350000
9,BLOG.JK,PT Trimitra Trans Persada Tbk,Transportation & Logistic,1277446161600
