,company_name,value,source,target,financial_year
0,TMAS.JK,4150671000000,Shipping service,Total Revenue,2023
1,TMAS.JK,155013000000,Stevedoring service,Total Revenue,2023
2,TMAS.JK,3191753000000,Total Revenue,Cost of Revenue,2023
3,TMAS.JK,1113931000000,Total Revenue,Gross Profit,2023
4,TMAS.JK,929485000000,Gross Profit,Operating Income,2023
5,TMAS.JK,184446000000,Gross Profit,Operating Expense,2023
6,TMAS.JK,104529000000,Operating Expense,Salaries and employee benefits,2023
7,TMAS.JK,79917000000,Operating Expense,General and administrative,2023
0,TMAS.JK,4240444000000,Shipping service,Total Revenue,2024
1,TMAS.JK,103962000000,Stevedoring service,Total Revenue,2024
2,TMAS.JK,3444217000000,Total Revenue,Cost of Revenue,2024
3,TMAS.JK,900189000000,Total Revenue,Gross Profit,2024
4,TMAS.JK,673093000000,Gross Profit,Operating Income,2024
5,TMAS.JK,227096000000,Gross Profit,Operating Expense,2024
6,TMAS.JK,131619000000,Operating Expense,Salaries and employee benefits,2024
7,TMAS.JK,95477000000,Operating Expense,General and administrative,2024
0,SMDR.JK,8285540057000,Freight operations,Total Revenue,2023
1,SMDR.JK,278411487000,Charter hire (time and voyage charter),Total Revenue,2023
2,SMDR.JK,35185481000,Sea freight forwarding services,Total Revenue,2023
3,SMDR.JK,99025746000,Warehousing and logistics services,Total Revenue,2023
4,SMDR.JK,301708938000,Others,Total Revenue,2023
5,SMDR.JK,7317962488000,Total Revenue,Cost of Revenue,2023
6,SMDR.JK,1681909221000,Total Revenue,Gross Profit,2023
7,SMDR.JK,1377915311000,Gross Profit,Operating Income,2023
8,SMDR.JK,303993910000,Gross Profit,Operating Expense,2023
9,SMDR.JK,158388701000,Operating Expense,Marketing,2023
10,SMDR.JK,145605209000,Operating Expense,Administrative,2023
0,SMDR.JK,7653166975000,Freight operations,Total Revenue,2024
1,SMDR.JK,428451326000,Charter hire (time and voyage charter),Total Revenue,2024
2,SMDR.JK,36660233000,Sea freight forwarding services,Total Revenue,2024
3,SMDR.JK,142730938000,Warehousing and logistics services,Total Revenue,2024
4,SMDR.JK,334643784000,Others,Total Revenue,2024
5,SMDR.JK,6943276866000,Total Revenue,Cost of Revenue,2024
6,SMDR.JK,1652376390000,Total Revenue,Gross Profit,2024
7,SMDR.JK,1281169315000,Gross Profit,Operating Income,2024
8,SMDR.JK,371207075000,Gross Profit,Operating Expense,2024
9,SMDR.JK,201154650000,Operating Expense,Marketing,2024
10,SMDR.JK,170052425000,Operating Expense,Administrative,2024
0,HATM.JK,566540818193,Freight,Total Revenue,2023
