date,idx_total_market_cap
2026-08-12,11170270993004848
2026-08-13,11047038481790783
2026-08-14,11239913404397486
2026-08-18,11344776423883178
2026-08-19,11242710814171051
2026-08-20,11417105165375641
2026-08-21,11445451211005613
2026-08-24,11400829359169202
2026-08-26,11226539253653372
2026-08-27,11444254799160097
2026-08-28,11427514258790209
2026-08-31,11420266337232824
2026-09-01,11528076154461080
2026-09-02,11521577604064942
2026-09-03,11637538684241799
2026-09-04,11595660058206448
2026-09-07,11571807924987264
2026-09-08,11668902562815871
2026-09-09,11671538636715858
