sector,subsector,industry,sub_industry
transportation-logistic,transportation,passenger-land-transportation,road-transportation
transportation-logistic,transportation,airlines,airlines
infrastructures,heavy-constructions-civil-engineering,heavy-constructions-civil-engineering,heavy-constructions-civil-engineering
properties-real-estate,properties-real-estate,real-estate-management-development,real-estate-services
properties-real-estate,properties-real-estate,real-estate-management-development,real-estate-development-management
infrastructures,telecommunication,telecommunication-service,wired-telecommunication-service
infrastructures,telecommunication,telecommunication-service,integrated-telecommunication-service
infrastructures,telecommunication,wireless-telecommunication-services,wireless-telecommunication-services
consumer-non-cyclicals,food-beverage,agricultural-products,fish-meat-poultry
consumer-non-cyclicals,food-beverage,agricultural-products,plantations-crops
consumer-non-cyclicals,food-beverage,processed-foods,dairy-products
consumer-non-cyclicals,food-beverage,processed-foods,processed-foods
consumer-non-cyclicals,food-beverage,beverages,soft-drinks
consumer-non-cyclicals,food-beverage,beverages,liquors
infrastructures,utilities,electric-utilities,electric-utilities
infrastructures,utilities,gas-utilities,gas-utilities
healthcare,healthcare-equipment-providers,healthcare-providers,healthcare-providers
healthcare,healthcare-equipment-providers,healthcare-equipment-supplies,healthcare-equipment
healthcare,healthcare-equipment-providers,healthcare-equipment-supplies,healthcare-supplies-distributions
financials,financing-service,consumer-financing,consumer-financing
consumer-non-cyclicals,tobacco,tobacco,tobacco
healthcare,pharmaceuticals-health-care-research,pharmaceuticals,pharmaceuticals
consumer-non-cyclicals,nondurable-household-products,personal-care-products,personal-care-products
consumer-cyclicals,media-entertainment,entertainment-movie-production,entertainment-movie-production
consumer-cyclicals,media-entertainment,media,cable-satellite
consumer-cyclicals,media-entertainment,media,broadcasting
consumer-cyclicals,media-entertainment,media,consumer-publishing
consumer-cyclicals,media-entertainment,media,advertising
industrials,industrial-goods,electrical,electrical-components-equipment
industrials,industrial-goods,machinery,construction-machinery-heavy-vehicles
industrials,industrial-goods,machinery,industrial-machinery-components
industrials,industrial-goods,building-products-fixtures,building-products-fixtures
consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,food-retail-distributors
consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,supermarkets-convenience-store
consumer-non-cyclicals,food-staples-retailing,food-staples-retailing,drug-retail-distributors
industrials,industrial-services,professional-services,human-resource-employment-services
industrials,industrial-services,professional-services,research-consulting-services
industrials,industrial-services,diversified-industrial-trading,diversified-industrial-trading
industrials,industrial-services,commercial-services,office-supplies
industrials,industrial-services,commercial-services,business-support-services
industrials,industrial-services,commercial-services,environmental-facilities-services
industrials,industrial-services,commercial-services,commercial-printing
financials,insurance,insurance,life-insurance
financials,insurance,insurance,reinsurance
financials,insurance,insurance,general-insurance
technology,software-it-services,online-applications-services,online-applications-services
technology,software-it-services,it-services-consulting,it-services-consulting
technology,software-it-services,software,software
infrastructures,transportation-infrastructure,transport-infrastructure-operator,marine-ports-services
infrastructures,transportation-infrastructure,transport-infrastructure-operator,airport-operators
infrastructures,transportation-infrastructure,transport-infrastructure-operator,highways-railtracks
energy,oil-gas-coal,oil-gas,oil-gas-production-refinery
energy,oil-gas-coal,oil-gas,oil-gas-storage-distribution
energy,oil-gas-coal,coal,coal-production
energy,oil-gas-coal,coal,coal-distribution
energy,oil-gas-coal,oil-gas-coal-supports,oil-gas-drilling-service
energy,oil-gas-coal,oil-gas-coal-supports,oil-gas-coal-equipment-services
consumer-cyclicals,leisure-goods,consumer-electronics,consumer-electronics
consumer-cyclicals,leisure-goods,sport-equipment-hobbies-goods,sport-equipment-hobbies-goods
basic-materials,basic-materials,chemicals,specialty-chemicals
basic-materials,basic-materials,chemicals,agricultural-chemicals
basic-materials,basic-materials,chemicals,basic-chemicals
basic-materials,basic-materials,metals-minerals,diversified-metals-minerals
basic-materials,basic-materials,metals-minerals,gold
basic-materials,basic-materials,metals-minerals,iron-steel
basic-materials,basic-materials,metals-minerals,aluminum
basic-materials,basic-materials,metals-minerals,cooper
basic-materials,basic-materials,containers-packaging,containers-packaging
basic-materials,basic-materials,construction-materials,construction-materials
basic-materials,basic-materials,forestry-paper,paper
basic-materials,basic-materials,forestry-paper,diversified-forest
basic-materials,basic-materials,forestry-paper,timber
consumer-cyclicals,household-goods,household-goods,housewares-specialties
consumer-cyclicals,household-goods,household-goods,home-furnishings
consumer-cyclicals,household-goods,household-goods,household-appliances
consumer-cyclicals,consumer-services,tourism-recreation,recreational-sports-facilities
consumer-cyclicals,consumer-services,tourism-recreation,restaurants
consumer-cyclicals,consumer-services,tourism-recreation,travel-agencies
consumer-cyclicals,consumer-services,tourism-recreation,hotels-resorts-cruise-lines
consumer-cyclicals,consumer-services,education-support-services,education-services
financials,banks,banks,banks
transportation-logistic,logistics-deliveries,logistics-deliveries,logistics-deliveries
consumer-cyclicals,retailing,consumer-distributors,consumer-distributors
consumer-cyclicals,retailing,department-stores,department-stores
consumer-cyclicals,retailing,specialty-retail,apparel-textile-retail
consumer-cyclicals,retailing,specialty-retail,electronics-retail
consumer-cyclicals,retailing,specialty-retail,home-improvement-retail
consumer-cyclicals,retailing,specialty-retail,automotive-retail
financials,investment-service,investment-services,investment-banking-brokerage-services
financials,investment-service,investment-services,investment-management
energy,alternative-energy,alternative-energy-equipment,alternative-energy-equipment
financials,holding-investment-companies,holding-investment-companies,financial-holdings
financials,holding-investment-companies,holding-investment-companies,investment-companies
consumer-cyclicals,automobiles-components,auto-components,auto-parts-equipment
consumer-cyclicals,automobiles-components,auto-components,tires
technology,technology-hardware-equipment,networking-equipment,networking-equipment
technology,technology-hardware-equipment,computer-hardware,computer-hardware
technology,technology-hardware-equipment,electronic-equipment-instruments-components,electronic-equipment-instruments
industrials,multi-sector-holdings,multi-sector-holdings,multi-sector-holdings
consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,clothing-accessories-bags
consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,footwear
consumer-cyclicals,apparel-luxury-goods,apparel-luxury-goods,textiles
