,index,symbol,date,close,open,high,low,volume,market_cap
0,0,GIAA.JK,2026-08-12,74,75,75,70,764410700,30124786083938
1,1,GIAA.JK,2026-08-13,72,75,76,71,355942000,29310602676264
2,2,GIAA.JK,2026-08-14,76,72,78,68,1248689100,30938969491612
3,3,GIAA.JK,2026-08-18,75,77,80,74,555941900,30531877787775
4,4,GIAA.JK,2026-08-19,73,75,76,72,217392700,29717694380101
5,5,GIAA.JK,2026-08-20,74,74,75,72,159869000,30124786083938
6,6,GIAA.JK,2026-08-21,72,74,74,71,184816000,29310602676264
7,7,GIAA.JK,2026-08-24,69,72,73,69,234485100,28089327564753
8,8,GIAA.JK,2026-08-26,63,69,69,62,316407900,25646777341731
9,9,GIAA.JK,2026-08-27,66,62,67,61,132447300,26868052453242
10,10,GIAA.JK,2026-08-28,65,67,67,64,58760100,26460960749405
11,11,GIAA.JK,2026-08-31,65,65,67,64,91091100,26460960749405
12,12,GIAA.JK,2026-09-01,66,65,69,65,216424400,26868052453242
13,13,GIAA.JK,2026-09-02,66,66,66,65,48021900,26868052453242
14,14,GIAA.JK,2026-09-03,70,66,71,66,339367300,28496419268590
15,15,GIAA.JK,2026-09-04,67,70,70,67,139850300,27275144157079
16,16,GIAA.JK,2026-09-07,66,66,67,65,81664200,26868052453242
17,17,GIAA.JK,2026-09-08,67,68,70,67,81329800,27275144157079
18,18,GIAA.JK,2026-09-09,68,67,68,66,44764200,27682235860916
19,0,TMAS.JK,2026-08-12,129,130,132,128,3656900,7359643500000
20,1,TMAS.JK,2026-08-13,129,129,131,127,2142600,7359643500000
21,2,TMAS.JK,2026-08-14,127,129,130,127,903400,7245540500000
22,3,TMAS.JK,2026-08-18,136,127,137,127,14394700,7759004000000
23,4,TMAS.JK,2026-08-19,135,136,138,132,5134600,7701952500000
24,5,TMAS.JK,2026-08-20,136,131,137,131,4625000,7759004000000
25,6,TMAS.JK,2026-08-21,138,135,139,135,7348000,7873107000000
26,7,TMAS.JK,2026-08-24,142,138,143,138,16849100,8101313000000
27,8,TMAS.JK,2026-08-26,135,141,142,134,7916100,7701952500000
28,9,TMAS.JK,2026-08-27,139,135,140,130,7843600,7930158500000
29,10,TMAS.JK,2026-08-28,140,140,144,137,6282200,7987210000000
30,11,TMAS.JK,2026-08-31,140,140,141,137,4131800,7987210000000
31,12,TMAS.JK,2026-09-01,140,140,141,138,2642000,7987210000000
32,13,TMAS.JK,2026-09-02,139,141,141,138,1756900,7930158500000
33,14,TMAS.JK,2026-09-03,143,140,146,139,16409500,8158364500000
34,15,TMAS.JK,2026-09-04,144,145,152,143,29975300,8215416000000
35,16,TMAS.JK,2026-09-07,147,144,150,143,12754200,8386570500000
36,17,TMAS.JK,2026-09-08,147,147,151,146,7494400,8386570500000
37,18,TMAS.JK,2026-09-09,149,148,154,147,19174600,8500673500000
38,0,ELPI.JK,2026-08-12,700,695,715,690,1011400,6667094000000
39,1,ELPI.JK,2026-08-13,700,700,715,680,1325900,6667094000000
40,2,ELPI.JK,2026-08-14,665,700,710,665,1193100,6333739300000
41,3,ELPI.JK,2026-08-18,675,675,695,650,1592200,6428983500000
42,4,ELPI.JK,2026-08-19,690,710,715,670,904600,6571849800000
43,5,ELPI.JK,2026-08-20,680,690,700,670,1159100,6476605600000
44,6,ELPI.JK,2026-08-21,685,680,695,680,709700,6524227700000
45,7,ELPI.JK,2026-08-24,670,685,700,655,1286200,6381361400000
46,8,ELPI.JK,2026-08-26,640,670,675,640,1162500,6095628800000
47,9,ELPI.JK,2026-08-27,670,620,670,615,815000,6381361400000
48,10,ELPI.JK,2026-08-28,675,670,685,650,1201900,6428983500000
49,11,ELPI.JK,2026-08-31,670,675,690,655,746400,6381361400000
