symbol,event_type,agm_date,agm_time,agm_place,agm_result,ex_date,payment_date,dividend_yield,dividend_amount,price,new_ratio,old_ratio,trading_period_end,trading_period_start,date,split_ratio
GIAA.JK,agm,2022-10-14,09:20:00,Sistem Easy. Ksei Kota Adm. Jakarta Utara DKI Jakarta,,,,,,,,,,,,
GIAA.JK,agm,2022-10-20,13:00:00,"Hybrid (Secara Offline & Online)Ji Kebon Sirih No.46A Jakarta, Atauonline Dengan Link",,,,,,,,,,,,
GIAA.JK,agm,2022-12-27,14:00:00,"Hybrid (Secara Offline & Online)Ruang Basel, Lt.7Swissotel Jakarta Pik Avenuepantai Indah Kapuk Boulevardpik Avenue Mall, 14470 Jakartaatau Dapat Diikuti Secara Online Dengan Link",,,,,,,,,,,,
GIAA.JK,agm,2023-05-25,13:00:00,"Dibatalkanruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar Garuda City, Bandara Udara Internasional Soekarno-Hatta Tangerang Banten",,,,,,,,,,,,
GIAA.JK,agm,2023-05-30,09:00:00,"Auditorium Room, Garuda Management Building Floor, Garuda City, Soekarno-Hatta International Airport, Tangerang 15111",,,,,,,,,,,,
GIAA.JK,agm,2024-05-22,09:00:00,Tangerang,,,,,,,,,,,,
GIAA.JK,agm,2024-06-12,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udara Internasional Soekarno-Hatta",,,,,,,,,,,,
GIAA.JK,agm,2024-08-15,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang 15111",,,,,,,,,,,,
GIAA.JK,agm,2024-11-15,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang - 15111",,,,,,,,,,,,
GIAA.JK,agm,2025-05-28,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang 15111",,,,,,,,,,,,
GIAA.JK,agm,2025-06-30,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang 15111",,,,,,,,,,,,
GIAA.JK,agm,2025-10-15,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang 15111",,,,,,,,,,,,
GIAA.JK,agm,2025-11-12,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang - 15111, Indonesia",,,,,,,,,,,,
GIAA.JK,agm,2025-12-23,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang ? 15111",,,,,,,,,,,,
GIAA.JK,agm,2026-05-13,14:00:00,"Ruang Auditorium, Gedung Manajemen Garuda, Lantai Dasar, Garuda City, Bandar Udarainternasional Soekarno-Hatta, Tangerang - 15111, Indonesia","Agenda #1: The meeting approved the 2025 Annual Report and audited financial statements, granting full discharge of responsibility to the Board of Directors and Commissioners for the 2025 fiscal year.
Agenda #2: Authority was granted to majority shareholders and the Board of Commissioners to determine salaries, facilities, and performance bonuses for the 2025 and 2026 fiscal years.
Agenda #3: Dedy Lesmana and PwC were appointed to audit the 2026 financial statements, with the Board of Commissioners authorized to manage replacements or additional audit needs.
Agenda #4: The Board of Commissioners was authorized to approve the 2026-2030 Long-Term Plan and 2027 Corporate Budget, subject to shareholder approval and government synchronization.
Agenda #5: The meeting formally accepted the report regarding the utilization of funds from the company's 2025 Public Offering.
Agenda #6: The meeting approved reclassifying 3,746,490,443 Series B shares to Series A Dwiwarna shares to comply with Law No. 16 of 2025 regarding State-Owned Enterprises.
Agenda #7: The meeting dismissed Eksitarino Irianto and Frans Dicky Tamara from their roles and appointed a new board structure, including Glenny Kairupan as President Director and Fadjar Prasetyo as President Commissioner. Frans Dicky Tamara was appointed as Director of Human Capital & Corporate Service and Sugito Anjasmoro as Commissioner.",,,,,,,,,,,
GIAA.JK,agm,2026-10-08,14:00:00,,,,,,,,,,,,,
TMAS.JK,agm,2022-06-09,10:00:00,"Kantor Perseroan, Gedung Temaslineruang Serba Guna Lt.2Jl. Yos Sudarso Kav. 33, Sunter Jayajakarta Utara 14350",,,,,,,,,,,,
TMAS.JK,agm,2023-04-12,09:00:00,"Gedung Temas Lt.2 Jl. Yos Sudarso Kavling 33 Sunter Jaya, Tanjung Priok, Jakarta Utara",,,,,,,,,,,,
TMAS.JK,agm,2024-03-27,09:30:00,"Gedung Temasline Lt.2Jl. Yos Sudarso Kav. 33, Sunter Jayatanjung Priok, Jakarta Utara",,,,,,,,,,,,
TMAS.JK,agm,2025-03-24,,,,,,,,,,,,,,
