date,shares_number,insurance_l,corporate_l,pension_fund_l,financial_institutions_l,individual_l,mutual_fund_l,securities_companies_l,foundation_l,other_l,total_l,insurance_f,corporate_f,pension_fund_f,financial_institutions_f,individual_f,mutual_fund_f,securities_companies_f,foundation_f,other_f,total_f,numbers_of_shareholders,change_in_shareholders,symbol
2025-12-30,407091703837.0,413892502.0,7947529787.0,73830974.0,0.0,10162945572.0,297804200.0,62332693.0,9720294.0,321906993.0,19289963015.0,0.0,5923357041.0,0.0,5014816275.0,473172554.0,60327708.0,484938624.0,0.0,983909700.0,12940521902.0,75057.0,-587.0,GIAA.JK
2025-11-28,91480783837.0,419358102.0,7966754887.0,73830974.0,0.0,9954456302.0,351364200.0,62332775.0,9785294.0,321906993.0,19159789527.0,0.0,6055605002.0,0.0,5018061202.0,472997454.0,60327708.0,479794324.0,0.0,983909700.0,13070695390.0,75644.0,-53.0,GIAA.JK
2025-10-31,91480783837.0,410694902.0,8050169787.0,73830974.0,0.0,9727476709.0,315014200.0,63582599.0,10305294.0,321906993.0,18972981458.0,0.0,6225775302.0,0.0,5011938713.0,472832554.0,60327708.0,485418124.0,0.0,983909700.0,13240202101.0,75697.0,10433.0,GIAA.JK
2025-09-30,91480783837.0,413141402.0,8017252187.0,73830974.0,0.0,8916912081.0,249090400.0,62332514.0,10305294.0,321941993.0,18064806845.0,0.0,7207312480.0,0.0,4726746859.0,498966054.0,60327708.0,491204124.0,0.0,1147164961.0,14131722186.0,86130.0,,GIAA.JK
2025-08-29,91480783837.0,421444202.0,7920372254.0,73830974.0,0.0,9328560716.0,248590400.0,62332649.0,10270294.0,321941993.0,18387343482.0,0.0,7249091484.0,0.0,4344496320.0,504334354.0,60327708.0,489000624.0,0.0,1147164961.0,13794415451.0,,,GIAA.JK
2025-07-31,91480783837.0,413141402.0,7883455249.0,73830974.0,0.0,9350294092.0,246090400.0,62332262.0,10270294.0,321941993.0,18361356666.0,0.0,7497991240.0,0.0,4116150380.0,500518354.0,60327708.0,498249624.0,0.0,1147164961.0,13820402267.0,,,GIAA.JK
2025-06-30,91480783837.0,413141402.0,7946671200.0,73830974.0,0.0,9766402319.0,225090400.0,92932187.0,10270294.0,319951993.0,18848290769.0,0.0,7497406340.0,0.0,3602692077.0,498009354.0,60327708.0,527867724.0,0.0,1147164961.0,13333468164.0,,,GIAA.JK
2025-05-28,91480783837.0,413141402.0,7987072700.0,73850974.0,0.0,9903275983.0,186251900.0,187432187.0,9750294.0,317951993.0,19078727433.0,0.0,7506694931.0,0.0,3398042328.0,482387554.0,60327708.0,492648163.0,0.0,1147165280.0,13087265964.0,,,GIAA.JK
2025-04-30,91480783837.0,413141402.0,7928733474.0,74240974.0,0.0,9030242611.0,84178700.0,62332225.0,9750294.0,317951993.0,17920571673.0,0.0,7946643157.0,0.0,3451612148.0,453729654.0,60327708.0,1184998227.0,0.0,1148110830.0,14245421724.0,,,GIAA.JK
2025-03-27,91480783837.0,413141402.0,7921680574.0,74240974.0,0.0,8596565652.0,169279700.0,82332184.0,9750294.0,317951993.0,17584942773.0,0.0,9003592100.0,0.0,3452557809.0,454598754.0,60327708.0,461863484.0,0.0,1148110769.0,14581050624.0,,,GIAA.JK
2025-02-28,91480783837.0,413141402.0,7919222774.0,74240974.0,0.0,8633122252.0,215256900.0,62332362.0,9750294.0,317951993.0,17645018951.0,0.0,9003592100.0,0.0,3452449131.0,469074954.0,60327708.0,440419784.0,0.0,1095110769.0,14520974446.0,,,GIAA.JK
2025-01-31,91480783837.0,413141402.0,7914832774.0,74240974.0,0.0,8627007252.0,233330400.0,62332249.0,9750294.0,317951993.0,17652587338.0,0.0,9003823100.0,0.0,3451394792.0,466346854.0,60327708.0,434038684.0,0.0,1097474921.0,14513406059.0,,,GIAA.JK
2026-08-31,407091703837.0,413892502.0,8147203387.0,67773879.0,0.0,11130770664.0,33714200.0,62692409.0,9722794.0,317941993.0,20183711828.0,0.0,5538956015.0,0.0,4817204605.0,522135931.0,14614600.0,469798032.0,0.0,755950070.0,12118659253.0,,,GIAA.JK
2026-07-31,407091703837.0,427877902.0,8132913087.0,70273879.0,0.0,11041685361.0,21714200.0,62312596.0,9723294.0,317941993.0,20084442312.0,0.0,5540999215.0,0.0,4861820060.0,522163331.0,14614600.0,508016113.0,0.0,770315450.0,12217928769.0,70926.0,-540.0,GIAA.JK
2026-06-30,407091703837.0,413892502.0,8131320487.0,70273879.0,0.0,10935237961.0,47104200.0,62312574.0,9722394.0,317941993.0,19987805990.0,0.0,5539566115.0,0.0,4942208309.0,526046831.0,52472781.0,483955627.0,0.0,770315428.0,12314565091.0,71466.0,-1240.0,GIAA.JK
2026-05-29,407091703837.0,413892502.0,8137315487.0,70273879.0,0.0,10979431061.0,46714200.0,62332513.0,9722094.0,317941993.0,20037623729.0,0.0,5538650877.0,0.0,4898972570.0,522139031.0,52472781.0,482196827.0,0.0,770315266.0,12264747352.0,72706.0,-1369.0,GIAA.JK
2026-04-30,407091703837.0,421418102.0,8132666787.0,70273879.0,0.0,10950735200.0,46714200.0,62332491.0,9721794.0,317941993.0,20011804446.0,0.0,5537580777.0,0.0,4813559339.0,522380931.0,78803877.0,482843227.0,0.0,837512223.0,12272680374.0,74075.0,-1882.0,GIAA.JK
2026-03-31,407091703837.0,421540802.0,8119414787.0,73273879.0,0.0,10919702300.0,94783100.0,62332547.0,9720294.0,318022093.0,20018789802.0,0.0,5543012414.0,0.0,4778164931.0,527158031.0,84580663.0,481043542.0,0.0,851735437.0,12265695018.0,75957.0,2588.0,GIAA.JK
2026-02-27,407091703837.0,422481502.0,8032973587.0,73273974.0,0.0,10705994072.0,177954800.0,62332333.0,9720294.0,319941993.0,19804672555.0,0.0,5542183192.0,0.0,5019643600.0,497963731.0,84580663.0,483705642.0,0.0,851735437.0,12479812265.0,73369.0,-1173.0,GIAA.JK
2026-01-30,407091703837.0,422652502.0,8021080087.0,73830974.0,0.0,10662797749.0,179404200.0,62332372.0,9720294.0,321941993.0,19753760171.0,0.0,5546171241.0,0.0,5021534922.0,497227754.0,130293771.0,483761524.0,0.0,851735437.0,12530724649.0,74542.0,-515.0,GIAA.JK
2025-12-30,57051500000.0,1248510600.0,41577943800.0,0.0,0.0,7157403450.0,237529100.0,812017.0,100000.0,0.0,50222298967.0,0.0,69171738.0,0.0,48394655.0,73632550.0,59556800.0,1032067.0,0.0,32694423.0,284482233.0,9795.0,929.0,TMAS.JK
2025-11-28,57051500000.0,1248510600.0,41577615800.0,0.0,0.0,7088010900.0,299017000.0,712017.0,100000.0,447700.0,50214414017.0,0.0,69171738.0,0.0,48759755.0,81094300.0,59556800.0,1090167.0,0.0,32694423.0,292367183.0,8866.0,202.0,TMAS.JK
2025-10-31,57051500000.0,1249673600.0,41577615800.0,0.0,0.0,7067025300.0,312924500.0,712017.0,100000.0,0.0,50208051217.0,0.0,69171738.0,0.0,51302455.0,81094300.0,63375400.0,1091667.0,0.0,32694423.0,298729983.0,8664.0,215.0,TMAS.JK
2025-09-30,57051500000.0,1249673600.0,41577615800.0,0.0,0.0,7065955300.0,313782600.0,612017.0,100000.0,0.0,50207739317.0,0.0,69171738.0,0.0,51887655.0,80823900.0,63375400.0,1088767.0,0.0,32694423.0,299041883.0,8879.0,,TMAS.JK
2025-08-29,57051500000.0,1249673600.0,41577532900.0,0.0,0.0,7056538700.0,325430100.0,712017.0,100000.0,0.0,50209987317.0,0.0,69171738.0,0.0,49631555.0,80823200.0,63375400.0,1097567.0,0.0,32694423.0,296793883.0,,,TMAS.JK
2025-07-31,57051500000.0,1249673600.0,41576081000.0,0.0,0.0,7047731700.0,335838700.0,562017.0,100000.0,0.0,50209987017.0,0.0,69171738.0,0.0,49634055.0,80822800.0,63375400.0,1095767.0,0.0,32694423.0,296794183.0,,,TMAS.JK
2025-06-30,57051500000.0,1249673600.0,41572103600.0,0.0,0.0,7045347400.0,342160400.0,312017.0,100000.0,0.0,50209697017.0,0.0,69271738.0,0.0,48099655.0,80822800.0,65099800.0,1095767.0,0.0,32694423.0,297084183.0,,,TMAS.JK
2025-05-28,57051500000.0,1249673600.0,41568479200.0,0.0,0.0,7047920100.0,342160400.0,377217.0,100000.0,0.0,50208710517.0,0.0,69271650.0,0.0,49108955.0,80822800.0,65075000.0,1097767.0,0.0,32694511.0,298070683.0,,,TMAS.JK
2025-04-30,57051500000.0,1249673600.0,41568180700.0,0.0,0.0,7041403900.0,348660400.0,177217.0,100000.0,0.0,50208195817.0,0.0,69271650.0,0.0,49664755.0,80772800.0,65056200.0,1125467.0,0.0,32694511.0,298585383.0,,,TMAS.JK
2025-03-27,57051500000.0,1251370800.0,41565904200.0,0.0,0.0,7039109000.0,351545000.0,177217.0,100000.0,0.0,50208206217.0,0.0,69271650.0,0.0,48848255.0,80773800.0,65891000.0,1095767.0,0.0,32694511.0,298574983.0,,,TMAS.JK
2025-02-28,57051500000.0,1252759800.0,41565829200.0,0.0,0.0,7036681300.0,351997600.0,177217.0,100000.0,0.0,50207545117.0,0.0,69271650.0,0.0,49184655.0,80772800.0,66216700.0,1095767.0,0.0,32694511.0,299236083.0,,,TMAS.JK
2025-01-31,57051500000.0,1252759800.0,41563958500.0,0.0,0.0,7037907700.0,353888200.0,177217.0,100000.0,0.0,50208791417.0,0.0,69671650.0,0.0,48049655.0,80661500.0,66216700.0,695767.0,0.0,32694511.0,297989783.0,,,TMAS.JK
2026-08-31,57051500000.0,1236539600.0,41582415400.0,0.0,0.0,7237380200.0,188376200.0,390267.0,100000.0,0.0,50245201667.0,0.0,65688750.0,0.0,52539755.0,74104650.0,55961400.0,1498067.0,0.0,11786911.0,261579533.0,,,TMAS.JK
2026-07-31,57051500000.0,1236539600.0,41578195400.0,0.0,0.0,7240783200.0,188376200.0,427367.0,100000.0,0.0,50244421767.0,0.0,65688750.0,0.0,53249055.0,74164650.0,55961400.0,1508667.0,0.0,11786911.0,262359433.0,13259.0,-398.0,TMAS.JK
2026-06-30,57051500000.0,1236539600.0,41578165400.0,0.0,0.0,7238686800.0,188376200.0,392167.0,100000.0,0.0,50242260167.0,0.0,65688750.0,0.0,55422955.0,74164650.0,55961400.0,1496367.0,0.0,11786911.0,264521033.0,13657.0,-409.0,TMAS.JK
2026-05-29,57051500000.0,1236539600.0,41578312800.0,0.0,0.0,7235433300.0,188376200.0,692167.0,100000.0,0.0,50239454067.0,0.0,65688838.0,0.0,58303055.0,74164650.0,55944300.0,1439467.0,0.0,11786823.0,267327133.0,14066.0,-193.0,TMAS.JK
