symbol,company_name
GIAA.JK,Garuda Indonesia (Persero) Tbk
TMAS.JK,PT Temas Tbk
ELPI.JK,PT Pelayaran Nasional Ekalya Purnamasari Tbk
WBSA.JK,PT BSA Logistics Indonesia Tbk
SMDR.JK,Samudera Indonesia Tbk
HATM.JK,PT Habco Trans Maritima Tbk
BIRD.JK,PT Blue Bird Tbk
ASSA.JK,Adi Sarana Armada Tbk
IMJS.JK,PT Indomobil Multi Jasa Tbk
BLOG.JK,PT Trimitra Trans Persada Tbk
MITI.JK,Mitra Investindo Tbk
BLTA.JK,Berlian Laju Tanker Tbk
CMPP.JK,PT AirAsia Indonesia Tbk
SAFE.JK,Steady Safe Tbk
GTRA.JK,PT Grahaprima Suksesmandiri Tbk
HAIS.JK,PT Hasnur Internasional Shipping Tbk
NELY.JK,Pelayaran Nelly Dwi Putri Tbk
TRUK.JK,PT Guna Timur Raya Tbk
PPGL.JK,PT Prima Globalindo Logistik Tbk
PJHB.JK,PT Pelayaran Jaya Hidup Baru Tbk
MPXL.JK,PT MPX Logistics International Tbk
KLAS.JK,PT Pelayaran Kurnia Lautan Semesta Tbk
BPTR.JK,PT Batavia Prosperindo Trans Tbk.
SAPX.JK,PT Satria Antaran Prima Tbk
AKSI.JK,PT Mineral Sumberdaya Mandiri Tbk
SDMU.JK,Sidomulyo Selaras Tbk
PURA.JK,PT Putra Rajawali Kencana Tbk
TRJA.JK,PT Transkon Jaya Tbk
HELI.JK,PT Jaya Trishindo Tbk
LAJU.JK,PT Jasa Berdikari Logistics Tbk
WEHA.JK,PT WEHA Transportasi Indonesia Tbk
TAXI.JK,Express Transindo Utama Tbk
JAYA.JK,PT Armada Berjaya Trans Tbk
MIRA.JK,Mitra International Resources Tbk
RCCC.JK,PT Utama Radar Cahaya Tbk
KJEN.JK,PT Krida Jaringan Nusantara Tbk
TNCA.JK,PT Trimuda Nuansa Citra Tbk
LRNA.JK,PT Eka Sari Lorena Transport Tbk
LOPI.JK,PT Logisticsplus International Tbk
DEAL.JK,PT Dewata Freightinternational Tbk
