subsector,symbol,company_name
transportation,GIAA.JK,Garuda Indonesia (Persero) Tbk
heavy-constructions-civil-engineering,SSIA.JK,PT Surya Semesta Internusa Tbk
properties-real-estate,MPRO.JK,PT Maha Properti Indonesia Tbk
telecommunication,TLKM.JK,PT Telkom Indonesia (Persero) Tbk
food-beverage,ICBP.JK,Indofood CBP Sukses Makmur Tbk
utilities,BREN.JK,PT Barito Renewables Energy Tbk.
healthcare-equipment-providers,SRAJ.JK,Sejahteraraya Anugrahjaya Tbk
financing-service,BFIN.JK,BFI Finance Indonesia Tbk
tobacco,HMSP.JK,HM Sampoerna Tbk
pharmaceuticals-health-care-research,KLBF.JK,Kalbe Farma Tbk
nondurable-household-products,UNVR.JK,Unilever Indonesia Tbk
media-entertainment,MSIN.JK,PT MNC Digital Entertainment Tbk
industrial-goods,IMPC.JK,PT Impack Pratama Industri Tbk
food-staples-retailing,AMRT.JK,PT Sumber Alfaria Trijaya Tbk.
industrial-services,JTPE.JK,Jasuindo Tiga Perkasa Tbk
insurance,LIFE.JK,PT MSIG Life Insurance Indonesia Tbk
software-it-services,DCII.JK,PT DCI Indonesia Tbk
transportation-infrastructure,JSMR.JK,PT Jasa Marga Tbk
oil-gas-coal,BYAN.JK,Bayan Resources Tbk
leisure-goods,IIKP.JK,Inti Agri Resources Tbk
basic-materials,AMMN.JK,PT Amman Mineral Internasional Tbk.
household-goods,MGLV.JK,PT Panca Anugrah Wisesa Tbk
consumer-services,BUVA.JK,PT Bukit Uluwatu Villa Tbk
banks,BBCA.JK,PT Bank Central Asia Tbk.
logistics-deliveries,TMAS.JK,PT Temas Tbk
retailing,MAPI.JK,Mitra Adiperkasa Tbk
investment-service,YULE.JK,Yulie Sekuritas Indonesia Tbk
alternative-energy,SEMA.JK,PT Semacom Integrated Tbk
holding-investment-companies,DNET.JK,PT Indoritel Makmur Internasional Tbk
automobiles-components,VKTR.JK,PT VKTR Teknologi Mobilitas Tbk
technology-hardware-equipment,MTDL.JK,Metrodata Electronics Tbk
multi-sector-holdings,ASII.JK,Astra International Tbk
apparel-luxury-goods,POLU.JK,PT Golden Flower Tbk
